image_id,grounding_dino_iou,grounding_dino_status,owlvit_iou,owlvit_status,gpt_vision_iou,gpt_vision_status,gpt_guided_owlvit_iou,gpt_guided_owlvit_status
vid_res_001_man_in_lobby_by_door_frame_01,0.0,success,0.8608359676852827,success,0.6923299565846599,success,0.6399645318659012,success
vid_res_001_man_in_lobby_by_door_frame_02,0.053001748591412476,success,0.8862418106015485,success,0.5628500612518161,success,0.639879137714248,success
vid_res_001_man_in_lobby_by_door_frame_03,0.03770020533880904,success,0.788388869804191,success,0.27858953799844116,success,0.6399120577121254,success
vid_res_002_girl_sitting_in_lounge_frame_01,0.0,success,0.73799737496546,success,0.34368896761593315,success,0.7414223884859272,success
vid_res_002_girl_sitting_in_lounge_frame_02,0.0,success,0.7424077754316234,success,0.5662895640015254,success,0.6607179232393494,success
vid_res_002_girl_sitting_in_lounge_frame_03,0.0,success,0.7425360990733286,success,0.20717884130982367,success,0.7978904325032767,success
vid_res_004_table_with_flower_on_top_frame_01,0.0,success,0.0,success,0.25984259259259257,success,0.0,failed
vid_res_004_table_with_flower_on_top_frame_02,0.0,success,0.0,success,0.0,success,0.6025492468134415,success
vid_res_004_table_with_flower_on_top_frame_03,0.0,success,0.0,success,0.29577464788732394,success,0.5468873520419675,success
vid_res_005_under_the_painting_frame_01,0.0,success,0.0,success,0.21385028403613118,success,0.3151685393258427,success
vid_res_005_under_the_painting_frame_02,0.0,success,0.0,success,0.36648796623702523,success,0.08479088243246054,success
vid_res_005_under_the_painting_frame_03,0.0,success,0.0,success,0.41713014460511677,success,0.10905190905190905,success
vid_res_006_man_by_the_elevator_green_shirt_frame_01,0.34518800924442045,success,0.883314259265717,success,0.8785573305892475,success,0.7684595381163647,success
vid_res_006_man_by_the_elevator_green_shirt_frame_02,0.8569766875152303,success,0.9499001685548406,success,0.7984148503493587,success,0.7986600844772965,success
vid_res_006_man_by_the_elevator_green_shirt_frame_03,0.31884717387442696,success,0.9052977215392624,success,0.6382217204149319,success,0.7571559599715102,success
vid_res_007_man_standing_by_table_frame_01,0.0,success,0.9248123628994973,success,0.3289743276371505,success,0.7105831888962119,success
vid_res_007_man_standing_by_table_frame_02,0.0,success,0.8292356635940942,success,0.29627658084218195,success,0.7212664899257689,success
vid_res_007_man_standing_by_table_frame_03,0.0,success,0.09892741500269833,success,0.34695962670767544,success,0.791876124346408,success
vid_res_008_man_standing_by_water_dispenser_frame_01,0.7648874611529084,success,0.7324704134272291,success,0.4761303050034491,success,0.6330979354798202,success
vid_res_008_man_standing_by_water_dispenser_frame_02,0.8594959828782089,success,0.776710778436404,success,0.32445110673587496,success,0.7392585692995535,success
vid_res_008_man_standing_by_water_dispenser_frame_03,0.7568622913834495,success,0.693874796324685,success,0.42779959653189115,success,0.6613072011878249,success
vid_res_009_door_on_the_right_frame_01,0.0,success,0.79568687965556,success,0.3559386150558742,success,0.4998264292408618,success
vid_res_009_door_on_the_right_frame_02,0.0,success,0.7340626206814603,success,0.2717005071046852,success,0.6273834111420937,success
vid_res_009_door_on_the_right_frame_03,0.0,success,0.7991300095235644,success,0.313708763910202,success,0.5154864445641202,success
vid_res_010_door_at_end_of_hallway_frame_01,0.05554324707550514,success,0.8781460475008862,success,0.5172425005215968,success,0.773048969463716,success
vid_res_010_door_at_end_of_hallway_frame_02,0.05544472564500581,success,0.8554453546592894,success,0.5808303939809726,success,0.7917879141231732,success
vid_res_010_door_at_end_of_hallway_frame_03,0.05632118451025057,success,0.8630423047418814,success,0.5839130434782609,success,0.7902776960857439,success
vid_res_011_door_with_sign_frame_01,0.04718630354691902,success,0.0,success,0.06831506077970256,success,0.0873128083792596,success
vid_res_011_door_with_sign_frame_02,0.0480551734139557,success,0.0,success,0.04595338150376394,success,0.09581704114374012,success
vid_res_011_door_with_sign_frame_03,0.04674415294843209,success,0.8178364122106966,success,0.15494072947462562,success,0.08488244812939527,success
vid_res_012_elevator_call_button_frame_01,0.027340598987385223,success,0.02934294810325649,success,0.22346928379800998,success,0.0225401872460696,success
vid_res_012_elevator_call_button_frame_02,0.002733921126375504,success,0.0183027501297231,success,0.11681898166543679,success,0.04206185567010309,success
vid_res_012_elevator_call_button_frame_03,0.005943340157168329,success,0.02245961490372593,success,0.1780398322851153,success,0.0,success
vid_res_013_plant_on_table_frame_01,0.8074414705410969,success,0.7890295706685363,success,0.38035064488347614,success,0.6610516666740618,success
vid_res_013_plant_on_table_frame_02,0.9163844969917447,success,0.8880173479142863,success,0.5314492800378531,success,0.4414854182600489,success
vid_res_013_plant_on_table_frame_03,0.8182454211538942,success,0.8290732992077483,success,0.5337785332685769,success,0.39208949771689494,success
vid_res_014_package_by_the_chair_frame_01,0.0021216066348425672,success,0.007576540276199332,success,0.0,success,0.5214175654853621,success
vid_res_014_package_by_the_chair_frame_02,0.0,success,0.0,success,0.0,success,0.20652856246076584,success
vid_res_014_package_by_the_chair_frame_03,0.0025172357838589014,success,0.01776396973340158,success,0.0,success,0.4111921487603298,success
vid_res_015_package_on_the_chair_frame_01,0.08530707539378281,success,0.0,success,0.2453262233375157,success,0.6489220276284607,success
vid_res_015_package_on_the_chair_frame_02,0.07916243790395812,success,0.0,success,0.1277580522444839,success,0.573894736842105,success
vid_res_015_package_on_the_chair_frame_03,0.08655684557621436,success,0.0,success,0.2958367550969401,success,0.5581333333333331,success
vid_res_016_packages_on_floor_frame_01,0.0,success,0.2894857773080281,success,0.42282093362509116,success,0.102783297336213,success
vid_res_016_packages_on_floor_frame_02,0.0,success,0.29225004929994086,success,0.22893722789767,success,0.2411980033523959,success
